Date,User Name,Score,Title,Review Text,Version,Helpful Count
"2025-06-04T08:13:09-07:00","Wiredwelder","5","Helped my sleep a ton and anxiety is low","I can’t say enough good things about it. My anxiety is lower. I’m sleeping better. I’m healing better and I’m happier. I’m not having near the manic depression cycle. Highly recommend.!😁","3.1.1",""
"2025-06-01T12:52:33-07:00","Ben Davidson","5","MENDI is one of my favorite tools","As part of a project I am working to evaluate and assess the ability of wearable devices to achieve brain changes, I find MENDI one of the easiest to use and relaxation, sleep, and focus are improved.  After two month of daily use I now recommend MENDI to others.  Excellent product and app.","3.1.1",""
"2025-05-26T08:50:24-07:00","Richard I AZ","5","Helps my sleep tremendously","I just received the Mendi and have used it each of the first four days.  Each day I have improved not only my Mendi scores, but also my Sleep scores from my Oura ring app - which I love as well.  Also, for anyone interested: my wife and I also receive great benefits from our Apollo Neuro combined with Oura app.  Mendi is absolutely Awesome!!!!  Great investment in your brain’s health!!!!","3.0.1",""
"2025-05-22T03:03:56-07:00","Chirocarpenter","5","Useful, reliable","Easy to use, helpful insights.","3.0.1",""
"2025-05-17T07:24:05-07:00","Martin Gerard","5","MARTIN G JEDI","It brings balance to my force.","3.0.0",""
"2025-05-17T03:44:58-07:00","Tim Boykin","5","Life changing","I have never been more clear headed. This is the best tool I have found for improving focus and overall mental wellness.","3.0.0",""
"2025-05-15T12:06:35-07:00","Deetaken","5","Great tech","This is the tech that gets it done. 10 min of focus training…. Wow","3.0.0",""
"2025-05-07T04:22:02-07:00","Heels589","5","Mendi","I do brain training for 15 minutes every morning. I can see great improvements in my cognitive ability.","3.0.0",""
"2025-04-28T11:50:19-07:00","Goose0987","5","Very helpful","This has helped me stay focused at work.  Days go better when I use this.  Once you do it consistently for a while it is amazing how it helps.","3.0.0",""
"2025-04-27T10:35:46-07:00","AgentM3","5","Workout for my Brain","The device is super simple to use and It’s comfortable when snug on your forehead. The “game” is interesting because it’s a cool visual representation of my ability to focus. Another way to put it is that it’s a visual representation of your brains activity when attempting to focus on a task or a visual representation of the brain during meditation. I really like the feedback and the ability to compare past sessions to current. It took about a week or so before I really started noticing small improvements in focus and I do mean small subtle but effective improvements. With patience and consistency I feel strongly that this device will really help with my focus, anxiety, stress and sleep. It’s going to take time and I won’t develop some cool super powers but I am finally able to train my brain and see/feel the improvements.","3.0.0",""
"2025-04-24T05:05:22-07:00","Ground zero follower","5","Seems to be working… I need to do more","The app is good for daily reminders. I don’t always follow them. I seem to have better focus when I use the app. I need to be consistent to provide a better review.","3.0.0",""
"2025-04-22T22:10:22-07:00","Bsawma","5","Anxiety help","This really helps get you started on the journey of breath work. It is an amazing tool to use to help people remember to breathe and focus on their breath.","3.0.0",""
"2025-04-22T06:32:38-07:00","The Col.","5","Better Brain","I’ve been using it for only a few weeks but I feel the difference in my concentration and mental  clarity.

Make It a GREAT Day!
The Col.™️","3.0.0",""
"2025-04-22T04:23:52-07:00","rice cake girl","4","It works","I look forward to every session.  I would like more companion meditation content.","3.0.0",""
"2025-04-19T04:36:48-07:00","Nataly Noriega","5","Mendi","Recommending Mendi since I ordered it I haven't stopped using it every day, I noticed results after a week","3.0.0",""
"2025-04-17T22:32:01-07:00","cfalter","5","Exciting changes in my life","I’ve been using this for three months now. I’ve noticed my house is cleaner, I get dishes done, working out more, and I’ve stopped binge eating. Beyond grateful for the founders. This product works!!","3.0.0",""
"2025-04-10T18:28:38-07:00","aliNYSF","4","Great ! Need to add a profile","Me and my kid really liked it, but we couldn’t figure out how to add a profile for my son. It was really fun to watch an 8 1/2 year-old use his brain to control the shape","2.4.9",""
"2025-04-10T02:42:41-07:00","Williston North Dakota oil boom!!","5","Improvement","I’ve been using Mendi off and on for the past 6 1/2 months now. As long as I can stay consistent I truly feel like it is helping I’m not sure. I fully understand it yet, but I know my day-to-day activities, demeanor attitude, buisness and overall well-being has improved.
I’m excited to see what the next six months look like.","2.4.9",""
"2025-04-06T20:56:16-07:00","Crsmalley","5","Very helpful!!!","I see more and more little improvements in myself the longer I use it. Like, I am more willing to get things done that I dislike doing around the house or with my budget. I am becoming more focused at work. I notice I am getting better at not being triggered at some things and I am recovering quicker at the things that do still get me. I have been using it for about a month now. The other day I was hit with hard information and I was actually able to say, I am done worrying about this tonight and chose to go to sleep and actually slept without my mind racing all night or preventing me from going to sleep. That was huge. I also am noticing more when I am being critical towards other. Like it is bringing awareness to me so I can change it. I think it will also help me change it the more I use it. I catch myself breathing more through stressful moments helping them be less stressful. This thing is a miracle that come in a box. It is so easy to use and I have my whole family using it. Thank you mendi!! I have done neurofeedback before to help with a head injury. I am so grateful for the price of this vs that, and the convenience of having it be in the home or wherever I want to do it. Thank you thank you thank you! Using this device is literally helping my marriage get better!! Bit by bit as we both use it. Those reading this, you have to give it the time and consistency but it is such an easy thing to do. I do miss a day or two a week and still get amazing results so you dont have to be perfect but it is sooo worth the little effort it takes to do it!","2.4.9",""
"2025-04-03T20:17:54-07:00","Stgenv","5","Thank you","Thank you this has been helping me focus more in school and my mental heath, also after when I go to sleep I’m able to get better sleep and thank you I love Mendi -josue","2.4.9",""
"2025-04-03T19:02:10-07:00","Saifzy","5","Mendi","Mendi","2.4.9",""
"2025-04-01T04:55:38-07:00","Amanda KZJ","5","Game changer","Love this. Used it at the recommendation of a psychologist I worked with when discussing my struggles with medications and was able to totally get off of meds because of Mendi. Highly recommend.","2.4.9",""
"2025-03-29T21:17:16-07:00","MariaEnlightened","5","Believe in it.","A powerful tool and resource to have.   I can feel the shuttle changes in me with my focus and overall positive energy after using Mendi.  Highly recommend it.","2.4.9",""
"2025-03-29T11:20:51-07:00","Tina K11","4","This works","But the app could use some minor improvements. The overall activity snapshot at the end could have neural activity numbers going up the side of the graph making it more accurate for showing how a session actually looked for brain activity. That way those graphs would show something more real. A graph that only shows time along the bottom and nothing going up the side is not a reflection of the actual data. Also if the Mendi app could show battery life of the headband that would greatly improve frustration when the headband lights up as if it should work but the app doesn't connect.  I have also had to turn off my phone to reset the app which gets glitchy from time to time.  Lastly the performance, commitment, and activity circles on the top what are they actually showing? I understand commitment but the other two are vague in what they are relating to.   Otherwise I love the Mendi and will continue to use it as it is helping me understand what affects my mental cognition ❣️","2.4.9",""
"2025-03-20T09:01:14-07:00","Tmoooney","3","Like it but needs to update and useable","I like the concept and it the reading but I want to get the data from my brain when doing meditations or watching certain videos that are uplifting.  When you use this only allows your audio to come from this app and that limits the ability of this app to read your brain activity whilst engaging in a variety of mind enhancing modalities.  I hope they are able to update and enhance its usability.","2.4.9",""
"2025-03-11T01:32:13-07:00","FarewellToSnapChat","5","Changed my life","Life changing","2.4.9",""
"2025-03-10T21:56:51-07:00","Rory Eldridge","5","Amazing","Amazing just Amazing this is a must get item","2.4.9",""
"2025-03-09T19:58:35-07:00","Wah ooh rah Amon re poo sue","5","Mendi more like mend my brain into the right place","5star big big big 5 star ms sue and  new boo sue recommend as well Ty","2.4.9",""
"2025-03-09T17:12:50-07:00","Mayratheestalli","5","Loves it","Feels like meditation","2.4.9",""
"2025-03-06T22:08:20-07:00","Okeydokeyartichokey1!","5","Best app EVER","This app is #1","2.4.9",""
"2025-03-02T17:25:52-07:00","Buff393","5","Life transforming","I have been suffering from trauma for a while and this has been life changing!","2.4.9",""
"2025-03-02T10:15:07-07:00","dhnmac","5","Goals","This is a device that’s been helping me achieve goals and rewards beyond any subjective expectation. It’s achievable by any means possible. Thank you for this breakthrough for myself!","2.4.9",""
"2025-02-28T07:29:24-07:00","Lodestar-0","5","Wish there were additional features","The device is great and I have noticed my focus is improving. I wish there were a focus monitoring feature so I can wear the mendi while I'm working and monitor my focus levels throughout the day. Maybe there are other ways to use the device outside of training?","2.4.9",""
"2025-02-19T18:23:31-07:00","ConradIII","5","better than i expected","i used this app for the first time today and i think it is very good. good info, good design and easy to use. the only thing negative was that it took me a bit to figure out how to connect the headset to my phone with bluetooth. be sure to ""allow"" the app to use your bluetooth in the settings of your phone. it seems obvious but i have many bluetooth devices and i don't think i ever had to do that. if i did, the app told me i had to and this one did not.","2.4.9",""
"2025-02-19T09:41:59-07:00","Micarona","5","Firefighter/Medic","I’m a medically retired firefighter/medic with diagnosed ADHD, PTSD, general anxiety, and depression.  I underwent treatments including EMDR, hypnotherapy, CBT, and DBT.  I was prescribed alpha stimulation to help manage nightmares, irrational fears, suicidal ideations, and sleep deprivation (essentially shock therapy).  I have learned that meditation and exercise historically helped me the most.  Then Mendi came screaming across feed. I bought in because of a rudimentary familiarity with brain function in a PTSD brain (with skepticism). 

Ultimately, I love this tool and am finding myself meditating with it more than without it.  I love seeing how my sessions are monitored.  I also feel more relaxed after my sessions.  I had my 10th session over the last two weeks today and I can visualize how my focus is improving.

I can’t confirm Mendi is responsible for helping me quit chewing, but my curbed desire for alcohol and nicotine appear to have a correlation with the use of Mendi. I am far less interested in stimulants than I have been in a long time.  

I am recommending this tool for further investigation from my union to aid in first responder mental health training and treatments.","2.4.9",""
"2025-02-09T07:04:57-07:00","hgerm","4","At 20 days","So in the 20 days I’ve noticed some better focus at work. I’m able to stay on one project longer without feeling the need to jump to another. I’m remembering more of my dreams after waking up too.  Looking forward to some more progress to give a five star.","2.4.9",""
"2025-02-09T01:39:54-07:00","geekglasses","5","Feel better, calm, clarity","Exceptional device. Mendi has helped me feel better, experience a comfortable calm, and sleep better. Mendi has helped me experience my thoughts in what I can only describe as a more manageable rather than hectic way. I can’t explain it, it’s like it’s easier to think and I don’t need as much energy to think. I love the breath work before each session because it helps me focus and prepare for my session so that I’m present and participating. It’s a comfortable device, easy to set up. I’m super curious to see how I do over a longer period of time and look forward to improving my brain health.","2.4.9",""
"2025-02-06T09:09:04-07:00","Fishrangeley","5","been using it for about 4 years now.","Great device and my middle prefrontal cortex seems to being fine so far.

Great way for an almost 80 year old to check mental activity. Great App and I have","2.4.9",""
"2025-01-30T18:11:04-07:00","Orionbellatrix","5","Loving it","I am absolutely loving using the app and the gadget.","2.4.8",""
"2025-01-17T10:26:20-07:00","M0E07.","5","Great tool, highly recommended","Noticeable difference within the first week, it doesn’t leave my side anymore.","2.4.8",""
"2025-01-12T07:24:45-07:00","Probly steve","3","Just started, but I wish there were more info.","I have only just begun using Mendi, so I can’t speak to results yet. I find the app, informative, and interesting. However, I wish there were more information about the scores. The explanation on the website is filled with vague hedges. Basically, it says your score doesn’t matter as much as your improvement. But it doesn’t even quantify what a good improvement would be. While I understand a “good” score might vary widely depending on age and preexisting health conditions (adhd, depression,… etc),  and lifestyle (exercise, diet, substance use/abuse, etc.), it would be great if they could present us with some averages and means( baselines based on age and categories people self identify they are trying to improve). They must have a significant amount of data at this point, and the fact that they are not willing to share this data does not instill me with confidence.","2.4.8",""
"2025-01-12T05:33:15-07:00","Wah1969","5","Peaceful Concentration!!","I am just 10 days in and am experiencing a better mindset. Looking forward to my 30 day experience. Well worth the investment!","2.4.8",""
"2025-01-05T15:39:18-07:00","ezstork","5","Excellent brain training app.","Only neurofeedback device to legitimately claim to improve blood flow to the prefrontal cortex through scientific method’s proven with studies done around the world. 
I am a retired physician with long COVID 19 and long Vax complications. 
I have seen tremendous value in how my brain functions after I use the Mendi. (Sorry for the length of this. It was too important to not provide the details that may help others. )","2.4.8",""
"2025-01-02T06:19:52-07:00","Micheal franchesco","5","Good training every single morning","Mendi is great so far","2.4.7",""
"2025-01-01T07:23:21-07:00","Lovingtheexperience","5","Winnerminds","Beautiful and life changing. 💕","2.4.7",""
"2024-12-29T03:39:42-07:00","Ade martin","5","Absolutely worth it!","My anxiety/stress level decreased significantly! Anti stressful device! Great for meditation!","2.4.7",""
"2024-12-18T13:40:18-07:00","Boss Man 12345678987654321","5","5 Stars!! Helped me on my SAT!!","Great product, would highly recommend for people who want to focus more!","2.4.7",""
"2024-12-10T01:27:36-07:00","Solid Contact","5","I love Mendi!","I have had Mendi for more than 2 years now. Currently I’m on a 41 day streak. My mood, well-being, productivity, and many other aspects are better because of using Mendi. I notice little things all the time that are without a doubt improvements. Everything is better, sometimes a little, sometimes a lot better. I love to play golf. Doing a 10 minute Mendi session before golfing produces a mental focus that maintains itself throughout my entire round, which I love. I can’t say enough good things about Mendi.","2.4.5",""
"2024-12-06T13:06:55-07:00","Ima is here","5","The best ! Thank you for helping me be my best self.","Best self. This device is amazing !","2.4.5",""
"2024-11-25T15:02:05-07:00","Denildo!!","5","Amazing tool for improving focus and memory!","I’ve been using Mendi to train my memory, and it has exceeded my expectations. The app combines science and usability to help me improve my mental performance. I love how engaging and easy-to-use it is, making each session enjoyable. It’s not just an app; it’s a tool for personal growth. Highly recommend it to anyone looking to enhance their focus, memory, and mental health!","2.4.5",""
"2024-11-23T05:19:09-07:00","StuTheRabbit!!!","5","Focus training","I am 75 years old and like to keep my mind healthy and active. 
This seems to be very worthwhile for me. Good brain focus training and interesting enough to make a 10 minute per day habit.","2.4.5",""
"2024-11-21T03:21:25-07:00","KapJohn","5","Love","Love this app! This is exactly what I needed to help me focus, reduce impulsivity and become more productive.","2.4.5",""
"2024-11-20T23:11:17-07:00","Nick ""name""","5","It works faster than they say!","I’ve (31M) used this twice a day since buying it, and already notice I’ve got better focus, and I’m a lot more calm. 

Can’t wait to see what I’ll be like in a few more weeks!","2.4.5",""
"2024-11-20T20:19:34-07:00","DCtennis","5","Love it!","Been using Mendi twice a day and you can see every day my concentration gets better.
Focus gets better also.
I am really enjoying it.","2.4.5",""
"2024-11-17T10:28:11-07:00","Timmyfranks","3","Super cool but needs basic features","Super cool and love the device. The app needs basic support. Namely it needs both iPad support and Multiple profiles on a single device. Guest mode is ok but doesn’t help.","2.4.5",""
"2024-11-08T17:11:12-07:00","mis7702","5","It’s good so far","It’s interesting. I didn’t know for the first couple times how to control the ball but I think I’m starting to understand how to control the ball little bit now. Either way it’s pretty interesting to find out how your brain works through this device.","2.4.2",""
"2024-11-01T17:05:45-07:00","yaddiddabooboo","5","Wanted this ever since I was a kid","The instant Neuro feedback is incredible even though it’s just oxygen intake in the prefrontal cortex it’s fascinating to be able to train my perspective and attention","2.4.2",""
"2024-10-31T22:19:52-07:00","birds are super cooool","5","Helped stress and sleep","I was really stressed until I started using Mendi and the night I started slept like a baby. Would recommend it to anyone. 👍","2.4.2",""
"2024-10-31T03:04:02-07:00","unicomp21","5","Try it!","Olympic gym for the relaxation response to life?","2.4.2",""
"2024-10-27T14:06:05-07:00","882 rockinway","5","Pleased","I do Mendi everyday. I have easier focus and get into flow states for longer periods.","2.4.2",""
"2024-10-21T22:59:08-07:00","TJ Member","2","Glitchy","The date of birth scroll makes you start at year 1.   After scrolling for 2000 years, it won’t let you save your DOB.   App is pretty glitchy and the flow of info isn’t intuitive.  Hopefully it will improve.","2.4.0",""
"2024-10-20T04:34:45-07:00","1st Ride of the year","5","Great to highlight your baseline","I have done Mendi for about a year and can visually see how my frontal lobe is doing when I wake up. I love the different notes those stars play on our screen. It helps me focus.","2.4.0",""
"2024-10-17T18:41:55-07:00","E.KoSo","5","Well designed program","Mendi’s app and device provide encouragement to maintain a daily practice of concentration and the app provides interesting information about biofeedback training and its effects on mental and psychological function.","2.3.4",""
"2024-10-15T06:11:13-07:00","Squirrel squirrel13","5","Has changed my life!","I have been using mending for one year now.  After a few months I noticed an increase in my ability to focus, and manage my impulsivity.  I have ADHD inattentive, and my coworkers and spouse have commented how much better I am at managing my emotions.  I can be quick to frustration and anger.  Mendi has helped my life, I will be a life long user.","2.3.4",""
"2024-10-07T05:34:23-07:00","pagam2","5","You need to try it","Mendi it’s an amazing devil for ADHD i absolutely love it and i feel it is very helpful with executive function training","2.3.4",""
"2024-10-05T18:01:36-07:00","Happy Mendi Userr","5","MENDI has been a great tool to make new brain neural connections","I love the ability to take notes and I use MENDI as a partner to Vielight for the Brain and Vagus Nerve.","2.3.4",""
"2024-10-03T07:08:22-07:00","BirdieB01","5","Life changing","Best decision I made getting this device!","2.3.3",""
"2024-09-30T18:18:25-07:00","A Headband for your brain","5","The best thing ever!","For training the front of the brain,this is the thing to get.It helps the blood flow in that area to get to pay attention.I think it’s awesome as a person with ADHD.","2.2.4",""
"2024-09-29T18:14:32-07:00","EEBloom","5","Second update to review","I like everything I see, and I like the science behind it, and I am hoping for some remarkable benefits. I’ll probably give you a five star later on, but it wouldn’t be accurate to rate it on only six sessions. 

Updated up to five stars. Even if it was just a video game without benefits, I am beginning to enjoy the feeling of control over a part of my brain solely through intention. The  moving image and sounds feed back to me what I’m feeling quite accurately.","2.2.4",""
"2024-09-28T18:22:28-07:00","Sunfish2.0","5","I love mendi","Mendi has help me use my brain to improve my focus at school. It is very relaxing shout out to Mendi for changing my life.","2.2.4",""
"2024-09-25T15:34:47-07:00","Karishka68","5","Great device","I noticed I am more relaxed latelyand have better attitude towards things.","2.2.4",""
"2024-09-24T19:55:02-07:00","Corvus.Corax.","1","Read Privacy Policy","“ When you use our Services, we process certain of your: Identification Data (Email, Username, Phone Number, Country, City, Date of birth, User ID, IP addresses); Personal Characteristics (weight, height, and gender).”","2.2.4",""
"2024-09-20T09:11:07-07:00","Big-Sushi","4","It works!","Almost 60 consecutive days in and I can feel my focus getting better. I can concentrate on things for a longer period of time. My mood has tends to be a little more mellow  after each 10-15 minute session as well.","2.2.4",""
"2024-09-20T05:41:15-07:00","i cant find 1","5","Yes","Yes","2.2.4",""
"2024-09-16T17:08:54-07:00","kitty pineapple","5","Excellent","This tool dramatically increases my quality of the breathing exercises I do daily","2.2.4",""
"2024-09-09T05:09:43-07:00","Jan-jellybean","5","Worth a try","Mendi has improved my focus. I have a husband that has dementia. I’m hoping he may benefit.","2.2.4",""
"2024-09-05T17:45:00-07:00","Gabriel Salcedo Wines","5","Mendi 5 stars","You can feel the changes very quickly. It's been about two weeks, and my mood has completely improved. I'm not entirely sure if I'm sleeping better, but I can definitely say that my interactions with people have become more positive. I highly recommend it!","2.2.4",""
"2024-08-21T15:21:39-07:00","AKoethe Reviews","5","The mendi is great!!!","The mendi device and program are both wonderful and incredibly helpful in my neurological state of being.","2.2.3",""
"2024-08-13T09:37:46-07:00","savageballsackboo","5","Good stuff my wiggas","Love it","2.2.3",""
"2024-08-07T21:18:22-07:00","charlottemilycrowe","5","Amazing results","I have better focus than with traditional neurofeedback!!!","2.2.3",""
"2024-08-06T18:05:45-07:00","1234tobryan","3","It got me started again","So it helped me get back to mindfulness. It has already helped me identify new pre-flow creative state triggers. However after few months of use it is no longer helpful.
I could get the same good score on two sessions. The first session I had high neutral activity, oxygen and focus. The second session I had poor scores in all these areas. So the score really only measures commitment to the app which is unhelpful for neurofeedback and brain training.","2.2.3",""
"2024-08-01T08:43:09-07:00","gsjdiciwjsbfiir","4","loving it so far!","Love my Mendi so far!! Using it as an alternative to in office treatment for my sleep disorder (makes me constantly tired, long sleep times) and adhd. One suggestion would be the ability to change the sound, the background image, or other visuals such as the ball you are rolling. I guess this could potentially lead to distraction, but some customization would be great","2.2.3",""
"2024-07-30T14:05:53-07:00","_[wolrah]_","5","Use it every day","The visual and audio feedback is excellent and helpful as I do yoga stretches","2.2.3",""
"2024-07-21T08:38:22-07:00","Williamz34","5","Quality is better than quantity","There is only one activity in this app, but it’s so well crafted that I really enjoy it. As an app developer myself I appreciate the attention to detail. The feedback provided by the app is really useful and is done in soothing way. I really like doing the activity and I believe it’s helping. Also, great job on the connectivity, the headband connects instantly without issue, which adds to the pleasure of using it.","2.2.3",""
"2024-07-21T06:07:34-07:00","ironchickdana","5","Amazing device","As a mental health professional and someone who has ADHD, I love 💕 this device. I have been recommending it to clients and friends. Send me brochures to hand out.","2.2.3",""
"2024-07-08T08:50:07-07:00","Lagg on purpose","3","App needs to work offline with cellular data.","I prefer that the app does not collect information. It would be great if the app could work offline without having to transmit or store my data.","2.2.3",""
"2024-06-25T09:59:50-07:00","So vast","5","Humbly grateful","On the days that I do my exercises with Mendi in the morning, everything seems to work out better for me. I stay focused and concentrate and and productive. Thank you for this opportunity Mendi.","2.2.3",""
"2024-06-24T06:09:37-07:00","bobcool16","5","Amazing","I was so happy when my adhd stoped I cried","2.2.3",""
"2024-06-20T20:48:23-07:00","Mk3 gti","5","Best thing ever","It helps me go to sleep at night.And it the best","2.2.3",""
"2024-06-19T12:10:26-07:00","LovedBoggleasakid","5","Love it!","This is just what I have been waiting for! My entire family uses this device to help with focus, mood and a brain injury! This is very similar to what we used in the past with a behavioral therapist","2.2.3",""
"2024-06-18T07:50:47-07:00","Wobblish","5","Note to devs:","Excellent device that has helped cultivate absorptive focus. The only issue is that it’s very sensitive to breath work or breath irregularities. 
The app has an awesome breath timer during the start of the session, with haptic feedback - 

Could you offer a way to turn on the haptic breath timer during the session? This would help achieve consistent breathing :)","2.2.3",""
"2024-06-14T10:09:13-07:00","Zeb099","5","This is amazing","I’ve only been using it a short while and I can tell a difference in my focus and overall mental health. Thank you for creating this!","2.2.3",""
"2024-06-13T02:36:36-07:00","namor75","5","Fantastic work","Thanks for give me this opportunity the use this Mendy for me is especially because I work my mind better thanks again","2.2.3",""
"2024-06-11T17:20:15-07:00","Harrytheking22","5","Mendi for the boyz","Hi I’m so happy Mendi was created I went through a lot of painful things in my life and Mendi helped me overcome those obstacles.","2.2.3",""
"2024-06-10T05:23:38-07:00","KerryMc8","5","So easy to do!","Mendi is ridiculously easy to include in your daily self care activities. Can do 3 minutes, 15 minutes a day, you choose your time. More blood and oxygen going to your brain, how can you go wrong? Notice significantly less anxiety and nightmares while sleeping. Was able to sit and read a book for the first time in a while. It has been about a month of using. Really appreciate these inventors and their company & their commitment to keep it low cost.","2.2.3",""
"2024-06-09T06:34:24-07:00","DFR_1","5","Amazing","Wish I started early with this exercise.","2.2.3",""
"2024-05-23T07:36:08-07:00","House of Berch","5","Brain Training","I love knowing I am improving my brain function with just 10 minutes a day. I have my whole family doing Mendi. Including my teenagers to help them focus and counteract the negative impact of social media scrolling.","2.2.3",""
"2024-05-14T06:17:52-07:00","bruhCliNton","5","Rating","Good game helps my brain a ton.🔥🔥🔥🔥🔥🔥 check some of it out soon on NBC","2.2.3",""
"2024-05-11T07:52:48-07:00","Rhjaety","5","Mendi","The app is easy to use and is very helpful.","2.2.3",""
"2024-05-08T13:05:05-07:00","thinkbeyondyourself","5","I use Mendi","It works. It works better when I use it regularly.","2.2.3",""
"2024-05-04T21:10:03-07:00","LVB55999","3","Bug with buttons","The sound buttons only turn off but not back on. It’s frustrating","2.2.3",""
"2024-04-11T02:58:40-07:00","Jkbc11","5","Wonderful wellness tool","I’ve been using Mendi for over a year now and find that when I skip it, that my day is just not the same level of mental performance and focus. It really does work, which is crazy! Feels like a super hero gadget for my mental wellness!","2.2.3",""
"2024-04-05T03:07:58-07:00","Nfmfk","5","It has only gotten better","I’ve been a user for a few years now. Since Kickstarter","2.2.3",""
"2024-03-30T17:40:16-07:00","Uhihdh viscosity","5","Very good","Nice","2.2.3",""
"2024-03-28T04:54:27-07:00","arod0524","5","Mendi is life changing!","Mendi has truly improved my mental health and life!","2.2.3",""
"2024-03-09T13:33:57-07:00","reiffer1986","5","Review","If you’re looking to make the jump and play with neurofeedback this is a good gateway. Cost of entry is not very preventative and no subscription fee.","2.2.3",""
"2024-03-08T21:21:29-07:00","MoMan12345","1","Absolute garbage","The device is absolute garbage! I tested it over a few days in a controlled environment and did back to back training session. The noise to signal ratio is massive. You can move your head or a slight raise in eyebrows is detected as a massive surge in neuronal activity! Have requested a return.","2.2.3",""
"2024-03-06T07:15:17-07:00","chinchilla_12","5","The Medi is fantastic","I have been using for 3 months really starting to feel the progression I am staying calm helps me focus I have severe ADD it’s been helping really love it can’t wait to see where it all leads","2.2.3",""
"2024-02-25T05:13:04-07:00","Shriner#2023","5","Mendi Training","App has been great. I have had no problems with it.","2.2.3",""
"2024-02-25T04:48:39-07:00","Judydogdoc99","5","Great app and device!","I have struggled with attention deficit as long as I can remember. This app is an excellent way to track my attention patterns and variability every day. The app has a lot of great articles and videos to help the user understand neuro feedback, the Mendi device, and how our sleep, diet, and exercise affect our brain health. I highly recommend this app to anyone who is interested in exploring brain health. I’ve only been using the app for about a month, so I won’t know conclusively if it’s helping for another month or so, but I have seen a difference and a change in my ability to focus.","2.2.3",""
"2024-02-21T17:33:38-07:00","Flippyfel","1","Cannot sign in or sign up","“Invalid database object” error. Please fix and I’ll update my review!","2.2.3",""
"2024-01-30T19:23:02-07:00","Lukatronic","5","Solid consistent brain training platform","The training game is deceptively simple, almost bare bones, but the real changes and challenges happen within! The headband is solid and has had no issues I'm aware of... I recommend this to anyone who wants to try biofeedback for the brain. The price for entry is a little high but the app has loads of info and good badges to keep it fun.","2.2.2",""
"2024-01-29T06:52:24-07:00","Nick Etsitty","5","It was just enough structure to get me on the path.","I have tried meditating many times over the years but couldn’t keep with it to really make it part of my daily routine.  This gave me the structure I lacked and the feedback helped me keep motivated.  I have not only kept Mendi up, I have recently been able to incorporate other forms of meditating too.  It all started with Mendi.","2.2.2",""
"2024-01-28T10:55:59-07:00","Josh Risky Jones","5","Great app and device","Has really helped me get my uncontrolled epilepsy and medication resistant seizures to a manageable point where I’m not going to the hospital ER 3-4 times per month for grand mal episodes. It helped me improve my focus and get in touch with my emotions as well.","2.2.2",""
"2024-01-27T17:34:37-07:00","Bakari889","5","Great Since Update","This app has improved a a lot with the last update. There is now a breath work feature before the training game. They added a mindset coaching pathway. Also I have not experienced anymore crashes. I’m using this on my work phone. The android version of this app is seriously behind the IOS edition.","2.2.2",""
